alunosexo;Local de funcionamento - Templo/Igreja;Agua consumida pelos alunos na escola passa por um processo de purificacao;Abastecimento de agua - Rede publica;Abastecimento de agua - Poco artesiano;Esgoto sanitario - Rede publica;Esgoto sanitario - Fossa;Existente na escola - Sala de Diretoria;Existente na escola - Sala de professores;Existente na escola - Laboratorio de informatica;Existente na escola - Laboratorio de ciencias;Existente na escola - Sala de AEE;Existente na escola - Quadra de esportes Coberta;Existente na escola - Quadra de esportes Descoberta;Existente na escola - Quadra de esportes coberta | Descoberta;Existente na escola - Cozinha;Existente na escola - Biblioteca;Existente na escola - Sala de Leitura;Existente na escola - Biblioteca e/ou Sala de leitura;Existente na escola - Parque infantil;Existente na escola - Bercario;Existente na escola - Banheiro fora do predio;Existente na escola - Banheiro dentro do predio;Existente na escola - Banheiro adequado a educacao infantil;Existente na escola - Banheiro adequado ao uso dos alunos com deficiencia ou mobilidade reduzida;Existente na escola - Dependencias e vias adequadas a alunos com deficiencia ou mobilidade reduzida;Existente na escola - Sala de secretaria;Existente na escola - Banheiro com chuveiro;Existente na escola - Refeitorio;Existente na escola - Despensa;Existente na escola - Almoxarifado;Existente na escola - Auditorio;Existente na escola - Patio Coberto;Existente na escola - Patio Descoberto;Existente na escola - Area Verde;Existente na escola - Lavanderia;Existente na escola - Aparelho de televisao;Existente na escola - Videocassete;Existente na escola - DVD;Existente na escola - Antena parabolica;Existente na escola - Copiadora;Existente na escola - Retroprojetor;Existente na escola - Impressora;Existente na escola - Impressora Multifuncional;Existente na escola - Aparelho de som;Existente na escola - Projetor Multimidia (Datashow);Existente na escola - Fax;Existente na escola - Maquina fotografica/Filmadora;Internet Banda Larga;Atendimento Educacional Especializado (AEE);Atividade Complementar;Ensino Fundamental organizado em ciclos;Escola cede espaco para turmas do Programa Brasil Alfabetizado;Escola abre aos finais de semana para a comunidade;Escola oferece Creche em classes comuns do ensino regular;Escola oferece Pre-escola em classes comuns do ensino regular;Escola oferece Anos Iniciais do Ensino Fundamental  em classes comuns do ensino regular;Escola oferece Anos Finais do Ensino Fundamental em classes comuns do ensino regular (Inclusao);Regulamentacao no conselho ou orgao municipal, estadual ou federal de educacao;Forma de ocupacao do Predio escolar;N. de salas de aula existentes na escola;N. de salas utilizadas como salas de aula (dentro e fora do predio);Quantidade de Televisao;Quantidade de Videocassetes;Quantidade de Aparelhos de DVD;Quantidade de Antenas parabolicas;Quantidade de Copiadoras;Quantidade de Retroprojetores;Quantidade de Impressoras;Quantidade de Impressoras Multifuncionais;Quantidade de Aparelhos de som;Quantidade de Datashow;Quantidade de Fax;Quantidade de Maquinas Fotograficas/ Filmadoras;Quantidade de computadores na escola;Quantidade de computadores de uso administrativo;Quantidade de computadores para uso dos alunos;Quantidade total de funcionarios da escola ;RPA;FRACASSO
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
F;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;N
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;N;S;S;N;N;N;N;N;N;N;S;N;N;N;N;N;N;S;N;N;N;N;S;N;S;S;N;N;N;N;N;S;N;S;N;N;N;N;S;N;S;N;N;S;N;N;S;N;N;N;S;S;N;1;3;7;7;2;0;2;0;0;0;0;2;0;1;0;0;3;0;3;36;RPA6;S
M;N;S;S;N;S;N;S;S;N;N;S;N;N;N;S;S;N;S;N;N;N;S;N;S;S;S;S;N;S;S;N;N;N;N;N;S;N;S;N;S;N;S;N;S;S;N;S;S;S;N;N;N;N;N;S;S;N;1;1;10;7;1;0;2;0;1;0;1;0;3;1;0;1;4;1;3;36;RPA2;N
F;N;S;S;N;S;N;S;S;N;N;S;N;N;N;S;S;N;S;N;N;N;S;N;S;S;S;S;N;S;S;N;N;N;N;N;S;N;S;N;S;N;S;N;S;S;N;S;S;S;N;N;N;N;N;S;S;N;1;1;10;7;1;0;2;0;1;0;1;0;3;1;0;1;4;1;3;36;RPA2;N
F;N;S;S;N;S;N;S;S;N;N;S;N;N;N;S;S;N;S;N;N;N;S;N;S;S;S;S;N;S;S;N;N;N;N;N;S;N;S;N;S;N;S;N;S;S;N;S;S;S;N;N;N;N;N;S;S;N;1;1;10;7;1;0;2;0;1;0;1;0;3;1;0;1;4;1;3;36;RPA2;N
M;N;S;S;N;S;N;S;S;N;N;S;N;N;N;S;S;N;S;N;N;N;S;N;S;S;S;S;N;S;S;N;N;N;N;N;S;N;S;N;S;N;S;N;S;S;N;S;S;S;N;N;N;N;N;S;S;N;1;1;10;7;1;0;2;0;1;0;1;0;3;1;0;1;4;1;3;36;RPA2;N
M;N;S;S;N;S;N;S;S;N;N;S;N;N;N;S;S;N;S;N;N;N;S;N;S;S;S;S;N;S;S;N;N;N;N;N;S;N;S;N;S;N;S;N;S;S;N;S;S;S;N;N;N;N;N;S;S;N;1;1;10;7;1;0;2;0;1;0;1;0;3;1;0;1;4;1;3;36;RPA2;N
F;N;S;S;N;S;N;S;S;N;N;S;N;N;N;S;S;N;S;N;N;N;S;N;S;S;S;S;N;S;S;N;N;N;N;N;S;N;S;N;S;N;S;N;S;S;N;S;S;S;N;N;N;N;N;S;S;N;1;1;10;7;1;0;2;0;1;0;1;0;3;1;0;1;4;1;3;36;RPA2;N
